date,day,row,tree,panonychus_1,bryobia_1,tetranychus_1,predatory_1,panonychus_2,bryobia_2,tetranychus_2,predatory_2,panonychus_3,bryobia_3,tetranychus_3,predatory_3,panonychus_4,bryobia_4,tetranychus_4,predatory_4,panonychus_5,bryobia_5,tetranychus_5,predatory_5,panonychus_6,bryobia_6,tetranychus_6,predatory_6,panonychus_7,bryobia_7,tetranychus_7,predatory_7,panonychus_8,bryobia_8,tetranychus_8,predatory_8,panonychus_9,bryobia_9,tetranychus_9,predatory_9,panonychus_10,bryobia_10,tetranychus_10,predatory_10
05/06/2023,13,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,18,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,3,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,18,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
05/06/2023,13,18,65,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
05/06/2023,13,17,5,0,3,3,3,0,7,0,3,0,7,0,0,0,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,0,0,0,3,3,0,0
05/06/2023,13,17,20,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,3,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0
05/06/2023,13,17,35,0,0,3,0,0,0,3,0,0,0,7,10,0,0,3,3,0,3,3,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,3,0,3
05/06/2023,13,17,50,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
05/06/2023,13,15,5,3,0,3,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
05/06/2023,13,15,20,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
