date,row,tree,inner_1_panonychus,inner_1_bryobia,inner_1_tetranychus,inner_1_predatory,inner_1_tetra_egg,inner_1_predator_egg,inner_1_pan_egg,inner_2_panonychus,inner_2_bryobia,inner_2_tetranychus,inner_2_predatory,inner_2_tetra_egg,inner_2_predator_egg,inner_2_pan_egg,inner_3_panonychus,inner_3_bryobia,inner_3_tetranychus,inner_3_predatory,inner_3_tetra_egg,inner_3_predator_egg,inner_3_pan_egg,inner_4_panonychus,inner_4_bryobia,inner_4_tetranychus,inner_4_predatory,inner_4_tetra_egg,inner_4_predator_egg,inner_4_pan_egg,inner_5_panonychus,inner_5_bryobia,inner_5_tetranychus,inner_5_predatory,inner_5_tetra_egg,inner_5_predator_egg,inner_5_pan_egg,outer_1_panonychus,outer_1_bryobia,outer_1_tetranychus,outer_1_predatory,outer_1_tetra_egg,outer_1_predator_egg,outer_1_pan_egg,outer_2_panonychus,outer_2_bryobia,outer_2_tetranychus,outer_2_predatory,outer_2_tetra_egg,outer_2_predator_egg,outer_2_pan_egg,outer_3_panonychus,outer_3_bryobia,outer_3_tetranychus,outer_3_predatory,outer_3_tetra_egg,outer_3_predator_egg,outer_3_pan_egg,outer_4_panonychus,outer_4_bryobia,outer_4_tetranychus,outer_4_predatory,outer_4_tetra_egg,outer_4_predator_egg,outer_4_pan_egg,outer_5_panonychus,outer_5_bryobia,outer_5_tetranychus,outer_5_predatory,outer_5_tetra_egg,outer_5_predator_egg,outer_5_pan_egg,Antlion,Stethorus
03/07/2023,20,20_1,0,0,0,0,0,0,0,0,0,2,4,30+,5+,4,,,,,,,,,,,,5+,5+,,,,,,,,,,,,1,,,,,,2,,4,,,,,,1,,,,,,2,,,,,1,,,,,,,,
03/07/2023,20,20_10,,,,,,,,,,4,1,30+,,,,,,1,30+,,,,,,5+,20+,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,5+,,,,,20+,,30+,,,,,5+,,20+,,,yes,yes
03/07/2023,20,20_20,,,,2,30+,,,,,5+,5+,30+,,,,,,,,,,,,10+,2,30+,,,,,,,5+,,,,,,,,,,1,,,,,20+,,,,2,1,5+,,,,,,,,,,,,4,,20+,,,,yes
03/07/2023,20,20_30,,,,,,,,,,4,2,5+,,,,,3,1,30+,,2,,,2,,30+,,,,,2,1,5+,,,,,,2,,,,,,,,,,,,,,,20+,,2,,,,,10+,,,,,,3,10+,,,yes,yes
03/07/2023,20,20_50,,,,2,30+,,,,,,1,20+,,,,,,2,20+,,1,,,,,10+,,,,,,,,,,1,,2,2,5+,,,5+,,2,1,5+,30+,,4,,3,2,10+,5+,,,,10+,10+,20+,,,2,,,,,20+,,,yes
03/07/2023,20,20_60,,,,2,20+,1,,,,,,10+,,1,,,,1,30+,,1,,,,2,30+,,1,,,,1,20+,,,,,,,,,,,,,,5+,,1,,,,2,20+,,,,,,1,10+,,,,,,,5+,5+,,,yes
03/07/2023,19,19_60,,,1,1,5+,,,,,1,,5+,,,,,,,,,,1,,,,10+,,,1,,,,10+,,,2,,1,,,,,,,,,,,,1,,1,,,,,,,,1,4,,,1,,5+,,10+,,,,yes
03/07/2023,19,19_47,,,,2,,,,1,,,,5+,5+,,,,,,20+,,,,,3,3,10+,,,,,,1,10+,,,,,2,1,10+,,,1,,,1,,,,2,,2,,30+,30+,,,,5+,,10+,,,,,5+,1,20+,,,,
03/07/2023,19,19_35,,,20+,,30+,,,1,,10+,1,30+,,,2,,5+,,5+,,,,,10+,2,20+,,,,,20+,,30+,,,1,,10+,,10+,,,,,10+,,30+,,5+,4,,4,1,5+,,,30+,,5+,,,30+,,,,10+,,10+,,2,,yes
03/07/2023,19,19_20,,,,1,,,,,,5+,,5+,4,1,,,,,30+,,,,,5+,,30+,,,,,5+,,10+,,,,,3,,,,,,,10+,2,30+,,,,,5+,1,20+,,1,1,,4,1,10+,,,,1,,,5+,,,,yes
03/07/2023,19,19_5,,,,,,,1,,2,,,,2,,,,,,,,,,2,,,30+,,,,1,,,30+,5+,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,5+,,,
